"id","ind","respuesta"
"acuddeh2011111005",294,"-1"
"acuddeh2011111101",295,"-1"
"acuddeh2011111102",296,"-1"
"acuddeh2011111103",297,"-1"
"cerezo2011111101",298,"-1"
"acuddeh2011111104",299,"-1"
"rsf2011111401",300,"-1"
"a192011111401",301,"-1"
"a192011111501",302,"-1"
"cpj2011111501",303,"-1"
"cpj2011111601",304,"-1"
"prodesc2011111601",305,"-1"
"rsf2011111701",306,"-1"
"a192011111801",307,"-1"
"a192011112301",308,"-1"
"acuddeh2011112501",309,"-1"
"prodesc2011112501",310,"-1"
"cpj2011112801",311,"-1"
"a192011112801",312,"-1"
"acuddeh2011112801",313,"-1"
"a192011112802",314,"-1"
"a192011120401",315,"-1"
"a192011120601",316,"-1"
"acuddeh2011120601",317,"-1"
"acuddeh2011120701",318,"-1"
"acuddeh2011121201",319,"-1"
"acuddeh2011121202",320,"-1"
"a192011121901",321,"-1"
"rsf2012010901",322,"-1"
"cerezo2012011801",323,"-1"
"acuddeh2012013101",324,"-1"
"acuddeh2012013102",325,"-1"
"a192012020301",326,"-1"
"acuddeh2012020401",327,"-1"
"acuddeh2012020601",328,"-1"
"acuddeh2012020602",329,"-1"
"acuddeh2012020701",330,"-1"
"acuddeh2012022201",331,"-1"
"prodh2012022601",332,"-1"
"acuddeh2012022801",333,"-1"
"acuddeh2012022901",334,"-1"
"a192012030201",335,"-1"
"acuddeh2012030601",336,"-1"
"a192012030801",337,"-1"
"cpj2012031301",338,"-1"
"a192012031601",339,"-1"
"acuddeh2012032101",340,"-1"
"a192012032101",341,"-1"
"a192012032501",342,"-1"
"a192012032601",343,"-1"
"a192012032701",344,"-1"
"cpj2012032701",345,"-1"
"rsf2012032901",346,"-1"
"acuddeh2012033001",347,"-1"
"acuddeh2012041001",348,"-1"
"a192012041301",349,"-1"
"acuddeh2012041401",350,"-1"
"cerezo2012041401",351,"-1"
"cerezo2012041501",352,"-1"
"acuddeh2012041501",353,"-1"
"codigodh2012041601",354,"-1"
"acuddeh2012041601",355,"-1"
"prodh2012041601",356,"-1"
"acuddeh2012041701",357,"-1"
"acuddeh2012041702",358,"-1"
"acuddeh2012041801",359,"-1"
"acuddeh2012041802",360,"-1"
"acuddeh2012041803",361,"-1"
"acuddeh2012041804",362,"-1"
"codigodh2012041901",363,"-1"
"acuddeh2012041901",364,"-1"
"a192012042001",365,"-1"
"acuddeh2012042301",366,"-1"
"acuddeh2012042302",367,"-1"
"cerezo2012042801",368,"-1"
"acuddeh2012042801",369,"-1"
"a192012042901",370,"-1"
"cpj2012043001",371,"-1"
"rsf2012050101",372,"-1"
"acuddeh2012050201",373,"-1"
"a192012050301",374,"-1"
"cpj2012050401",375,"-1"
"acuddeh2012050701",376,"-1"
"a192012050801",377,"-1"
"acuddeh2012050901",378,"-1"
"a192012051001",379,"-1"
"a192012051201",380,"-1"
"rsf2012051601",381,"-1"
"cpj2012051801",382,"-1"
"a192012051801",383,"-1"
"a192012051802",384,"-1"
"acuddeh2012052101",385,"-1"
"cpj2012052101",386,"-1"
"acuddeh2012052102",387,"-1"
"rsf2012052101",388,"-1"
"acuddeh2012052401",389,"-1"
"acuddeh2012052402",390,"-1"
"acuddeh2012052403",391,"-1"
"acuddeh2012052404",392,"-1"
"acuddeh2012052801",393,"-1"
"rsf2012053001",394,"-1"
"a192012060201",395,"-1"
"acuddeh2012060601",396,"-1"
"acuddeh2012060701",397,"-1"
"a192012060901",398,"-1"
"rsf2012061201",399,"-1"
"cpj2012061301",400,"-1"
"a192012061401",401,"-1"
"cpj2012061401",402,"-1"
"rsf2012061501",403,"-1"
"prodh2012061501",404,"-1"
"prodesc2012061601",405,"-1"
"rsf2012061901",406,"-1"
"rsf2012062201",407,"-1"
"acuddeh2012062201",408,"-1"
"acuddeh2012062202",409,"-1"
"acuddeh2012062203",410,"-1"
"a192012062201",411,"-1"
"prodesc2012062301",412,"-1"
"prodesc2012062302",413,"-1"
"prodesc2012062303",414,"-1"
"a192012062501",415,"-1"
"codigodh2012062601",416,"-1"
"acuddeh2012062601",417,"-1"
"a192012070501",418,"-1"
"rsf2012070601",419,"-1"
"acuddeh2012070601",420,"-1"
"a192012071001",421,"-1"
"a192012071002",422,"-1"
"cpj2012071101",423,"-1"
"acuddeh2012071101",424,"-1"
"prodesc2012071101",425,"-1"
"acuddeh2012071102",426,"-1"
"rsf2012071101",427,"-1"
"acuddeh2012071301",428,"-1"
"prodesc2012071301",429,"-1"
"prodesc2012071901",430,"-1"
"a192012072001",431,"-1"
"a192012072301",432,"-1"
"acuddeh2012072301",433,"-1"
"cpj2012072501",434,"-1"
"rsf2012072601",435,"-1"
"a192012072601",436,"-1"
"cpj2012073001",437,"-1"
"a192012073001",438,"-1"
"a192012073002",439,"-1"
"cpj2012073002",440,"-1"
"acuddeh2012073001",441,"-1"
"a192012073101",442,"-1"
"acuddeh2012080201",443,"-1"
"acuddeh2012080202",444,"-1"
"a192012080301",445,"-1"
"acuddeh2012081601",446,"-1"
"acuddeh2012081602",447,"-1"
"cpj2012081701",448,"-1"
"cerezo2012082201",449,"-1"
"acuddeh2012082201",450,"-1"
"prodesc2012082901",451,"-1"
"acuddeh2012082901",452,"-1"
"acuddeh2012083101",453,"-1"
"a192012090301",454,"-1"
"acuddeh2012090501",455,"-1"
"prodesc2012090701",456,"-1"
"prodesc2012091201",457,"-1"
"acuddeh2012091301",458,"-1"
"rsf2012091601",459,"-1"
"acuddeh2012091901",460,"-1"
"a192012091901",461,"-1"
"acuddeh2012091902",462,"-1"
"acuddeh2012091903",463,"-1"
"cerezo2012092201",464,"-1"
"acuddeh2012092201",465,"-1"
"acuddeh2012092301",466,"-1"
"acuddeh2012092401",467,"-1"
"cerezo2012092401",468,"-1"
"acuddeh2012092701",469,"-1"
"a192012100101",470,"-1"
"codigodh2012100801",471,"-1"
"cerezo2012101601",472,"-1"
"prodh2012102301",473,"-1"
"acuddeh2012102401",474,"-1"
"prodesc2012102401",475,"-1"
"acuddeh2012102601",476,"-1"
"acuddeh2012102602",477,"-1"
"acuddeh2012103001",478,"-1"
"prodesc2012103101",479,"-1"
"acuddeh2012103101",480,"-1"
"acuddeh2012110601",481,"-1"
"cpj2012110801",482,"-1"
"a192012110801",483,"-1"
"cpj2012111501",484,"-1"
"acuddeh2012111801",485,"-1"
"rsf2012111901",486,"-1"
"a192012112101",487,"-1"
"a192012120301",488,"-1"
"rsf2012120401",489,"-1"
"a192012120401",490,"-1"
"acuddeh2012120501",491,"-1"
"cerezo2012120501",492,"-1"
"a192012120501",493,"-1"
"acuddeh2012120701",494,"-1"
"a192012120701",495,"-1"
"cpj2012120701",496,"-1"
"rsf2012121001",497,"-1"
"a192012122101",498,"-1"
"acuddeh2013010801",499,"-1"
"acuddeh2013010802",500,"-1"
"prodesc2013020201",501,"-1"
"acuddeh2013020601",502,"-1"
"acuddeh2013020701",503,"-1"
"codigodh2013020701",504,"-1"
"acuddeh2013020702",505,"-1"
"a192013020801",506,"-1"
"acuddeh2013021301",507,"-1"
"acuddeh2013021601",508,"-1"
"a192013022601",509,"-1"
"a192013022701",510,"-1"
"a192013030401",511,"-1"
"cpj2013030501",512,"-1"
"a192013030601",513,"-1"
"acuddeh2013031201",514,"-1"
"rsf2013031201",515,"-1"
"codigodh2013031501",516,"-1"
"a192013031601",517,"-1"
